,AIR.PA,SAF.PA,SU.PA,SIE.DE,ENR.DE,ABBN.SW,ALO.PA,MT.AS,RNO.PA,VOW3.DE,PRY.MI,SAND.ST
2024-12-24,147.5938,205.0570,231.9397,180.8154,50.9029,47.5437,21.5500,21.7104,41.7286,76.5504,59.9966,190.0394
2024-12-27,149.1302,206.3282,233.1488,181.4086,49.8673,47.8820,21.7900,21.6519,41.5248,77.9752,60.5620,190.9480
2024-12-30,148.2468,205.7415,231.5528,180.4136,50.1661,47.4277,21.6300,21.5154,41.3475,78.3094,60.1136,189.6569
2024-12-31,148.6309,207.4039,233.0037,180.4136,50.1661,47.4277,21.5600,21.8664,41.7021,78.3094,60.1136,189.6569
2025-01-02,153.7779,210.1419,233.6807,180.9494,50.6241,47.4277,21.9700,21.9444,41.7109,76.8318,61.4785,192.4305
2025-01-03,152.2799,206.9150,232.3266,178.7105,51.7593,47.5147,21.4300,20.9207,40.8423,76.3569,61.3030,191.2828
2025-01-06,153.2978,208.9685,242.9177,184.7383,54.2885,47.9496,22.2900,20.9792,41.6577,78.6964,62.4534,191.2828
2025-01-07,152.1070,211.1198,244.7554,185.1784,53.4720,47.8240,21.3200,20.8038,41.9325,78.9602,62.4924,195.5866
2025-01-08,152.2799,211.4131,243.1595,187.1877,50.2856,48.2106,20.2600,20.6185,41.7907,78.5556,62.3559,196.1605
2025-01-09,150.3594,215.7157,247.2218,188.1062,51.6796,48.2976,20.3700,20.7550,40.6030,78.8898,64.7347,198.7428
2025-01-10,151.3004,215.5201,242.3374,186.0970,49.2898,47.6017,19.7850,21.0865,40.5853,79.4703,64.2277,194.8215
2025-01-13,149.2646,214.0533,239.8709,184.8340,49.0210,47.0024,19.6350,21.2035,40.6119,79.9452,62.2584,193.3869
2025-01-14,149.7832,217.5736,241.7086,185.5803,50.6241,47.3117,19.9900,21.2912,41.3564,80.8071,62.3559,192.6217
2025-01-15,148.2468,217.3781,243.6915,187.1303,51.9983,47.9110,20.5100,21.8274,42.1275,82.0912,65.1052,196.7343
2025-01-16,150.9547,219.0404,246.0128,186.7284,50.1262,47.9980,20.5200,22.0808,42.8720,81.7394,65.1832,197.9776
2025-01-17,154.3925,222.3651,250.4620,192.1726,51.6597,49.0032,20.5300,22.1491,43.2265,82.1615,66.8990,200.4643
2025-01-20,156.9276,221.6806,252.0096,193.0816,49.8873,49.2738,20.8100,22.6560,42.6947,83.5511,67.4255,200.7513
2025-01-21,156.8124,222.5607,254.2342,195.3300,51.5402,49.9117,20.7100,22.4123,42.6947,82.9003,66.7820,202.9510
2025-01-22,158.5793,227.9389,260.9564,198.2004,54.9059,51.7674,19.8450,21.9541,44.0154,82.5309,69.0633,202.2815
2025-01-23,160.0389,232.6326,262.7941,199.9705,58.5503,51.7868,19.5350,22.3928,43.0670,83.9029,69.9798,220.0708
2025-01-24,160.4038,231.2637,261.7785,199.4443,60.1037,52.1927,19.2700,23.1142,43.5456,84.9935,70.1943,221.8880
2025-01-27,159.2515,229.8947,236.9693,192.6988,48.1148,49.1385,19.1850,23.1532,43.4747,86.1720,64.0522,218.6362
2025-01-28,160.1733,232.8282,219.2691,191.4072,51.7394,48.3266,19.1050,23.1337,43.7406,86.0313,62.0244,220.6447
2025-01-29,160.0005,232.4371,229.6668,194.5646,54.2885,49.3704,19.1900,23.1922,43.9977,85.7674,63.7988,221.3141
2025-01-30,159.7124,233.1216,233.1004,196.2868,56.4792,48.4619,19.2500,23.6601,44.1040,86.0313,64.7932,221.2185
2025-01-31,160.4806,234.5884,237.3078,198.4875,57.5944,48.2783,19.1150,23.5626,44.0065,86.7524,65.6511,219.9752
2025-02-03,159.9621,234.3928,229.9569,193.3686,55.2444,47.3890,19.0600,23.1630,43.7672,83.1993,64.3057,215.3844
2025-02-04,159.4243,234.6862,230.9725,193.1294,53.8902,47.6983,19.1050,23.6114,43.4659,83.2521,62.4729,216.7234
2025-02-05,160.2694,235.9574,224.7823,192.5553,55.2643,47.3890,19.2050,23.7479,42.3402,82.1263,61.2055,213.8541
2025-02-06,161.2296,235.6640,231.6496,199.0615,56.6385,47.9400,19.8500,26.9162,43.1468,84.3427,61.9659,220.5490
2025-02-07,160.2886,238.2065,229.3282,198.4875,56.8575,48.0173,20.2600,26.6725,43.5722,82.4254,61.7904,218.2536
2025-02-10,160.7879,240.3577,234.3094,202.0276,57.1363,48.4039,20.3800,26.5165,43.7140,82.9531,62.6874,219.0188
2025-02-11,160.5766,239.5755,236.1471,205.6156,57.0567,48.9065,21.1000,26.0096,43.3063,82.0912,64.7347,219.0188
2025-02-12,163.1310,240.9445,230.9241,202.8887,59.8846,48.8292,20.5400,26.1753,44.2813,82.4430,64.0912,222.4618
2025-02-13,163.2270,240.3577,236.7758,217.6234,62.0753,49.5831,20.3700,27.0039,45.9831,87.7551,65.7096,229.4436
2025-02-14,161.8250,240.5533,238.4685,220.5120,61.2787,49.5057,20.2800,26.5360,46.5326,88.1244,65.2027,228.7742
2025-02-17,163.7263,246.5182,237.8881,222.2745,63.3299,50.1243,20.5900,27.1697,46.4085,88.3003,67.2500,228.1047
2025-02-18,166.1270,245.7360,242.5308,221.4912,63.4096,51.1295,20.6700,27.0137,46.4971,88.2124,67.5230,230.3044
2025-02-19,162.2091,246.4205,239.0972,215.7630,60.4024,50.2790,20.3100,26.5360,45.3803,85.7146,66.9770,223.7052
2025-02-20,158.5217,242.4112,246.2546,216.6442,59.6058,50.6076,20.3200,26.1461,43.5456,85.5915,66.2166,226.7657
2025-02-21,153.6435,238.7932,248.9628,216.8401,57.7139,50.5109,20.0900,26.3703,43.2177,86.9811,66.9770,226.0006
2025-02-24,157.8111,237.5219,231.7463,213.5598,55.3838,48.1429,19.8150,26.1558,43.3772,89.2238,63.9548,223.8965
2025-02-25,157.5806,239.5755,223.4765,212.0910,51.3211,47.3310,20.0700,25.8731,43.0936,92.3020,61.9659,223.4183
2025-02-26,160.8647,243.1935,230.6823,218.7984,55.7025,47.8433,20.9100,27.2672,43.9977,93.1815,63.4088,226.8613
2025-02-27,158.5793,242.9980,227.5872,216.0078,55.0453,47.3214,20.7000,26.7602,44.0065,91.7303,55.6874,223.5139
2025-02-28,159.1170,244.5625,226.2815,216.5953,54.7067,46.6931,21.0800,26.7505,44.1749,91.5544,55.6094,222.5575
2025-03-03,167.4522,252.1898,222.1224,221.2464,55.2245,47.1087,21.1000,28.0763,44.7954,93.6652,54.7710,223.0357
2025-03-04,162.0363,249.3540,211.6281,208.8597,50.8830,45.3207,20.1200,26.6237,42.7302,89.7955,51.9827,211.3674
2025-03-05,165.9158,254.9279,218.7371,226.7298,55.0253,47.0314,23.1600,29.4119,43.5988,92.8297,54.5565,221.1229
